#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:20
# Spline RMSE gcc_mean: 0.00376
# Spline RMSE gcc_50: 0.00388
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,falling,gcc_90,2017-10-22,2017-10-18,2017-10-08,2017-10-23,2017-10-19,2017-10-11,2017-10-20,2017-10-15,2017-09-30,0.32729,0.34408,0.37784,0.31823,0.43448
harvardbarn2,DB,1000,falling,gcc_90,2016-10-22,2016-10-18,2016-10-12,2016-10-23,2016-10-19,2016-10-14,2016-10-19,2016-10-16,2016-10-10,0.32047,0.33846,0.3669,0.3127,0.42079
harvardbarn2,DB,1000,falling,gcc_90,2015-10-19,2015-10-14,2015-10-07,2015-10-22,2015-10-15,2015-10-09,2015-10-16,2015-10-12,2015-10-06,0.32934,0.34455,0.37335,0.31991,0.42366
harvardbarn2,DB,1000,falling,gcc_90,2014-10-18,2014-10-14,2014-10-09,2014-10-20,2014-10-15,2014-10-11,2014-10-16,2014-10-12,2014-10-08,0.31607,0.33302,0.36383,0.30712,0.41542
harvardbarn2,DB,1000,falling,gcc_90,2013-10-07,2013-09-30,2013-09-19,2013-10-10,2013-10-02,2013-09-23,2013-10-03,2013-09-27,2013-09-15,0.33506,0.34823,0.37318,0.32728,0.41737
harvardbarn2,DB,1000,falling,gcc_90,2012-10-11,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-02,2012-10-08,2012-10-04,2012-09-27,0.32779,0.33743,0.35999,0.32117,0.39539
harvardbarn2,DB,1000,falling,gcc_75,2019-10-18,2019-10-14,2019-10-07,2019-10-19,2019-10-15,2019-10-09,2019-10-16,2019-10-13,2019-10-06,0.30893,0.32848,0.35865,0.30075,0.41267
harvardbarn2,DB,1000,falling,gcc_75,2018-10-29,2018-10-25,2018-10-12,2018-10-30,2018-10-27,2018-10-15,2018-10-27,2018-10-20,2018-10-10,0.32487,0.34055,0.36385,0.31973,0.40519
harvardbarn2,DB,1000,falling,gcc_75,2017-10-22,2017-10-17,2017-10-07,2017-10-23,2017-10-19,2017-10-11,2017-10-20,2017-10-15,2017-09-29,0.32335,0.34315,0.37258,0.31477,0.42858
harvardbarn2,DB,1000,falling,gcc_75,2016-10-22,2016-10-18,2016-10-11,2016-10-23,2016-10-19,2016-10-13,2016-10-19,2016-10-16,2016-10-10,0.31674,0.33356,0.36578,0.30913,0.41518
harvardbarn2,DB,1000,falling,gcc_75,2015-10-19,2015-10-14,2015-10-07,2015-10-22,2015-10-16,2015-10-09,2015-10-16,2015-10-12,2015-10-06,0.32652,0.3412,0.36915,0.31673,0.41741
harvardbarn2,DB,1000,falling,gcc_75,2014-10-18,2014-10-14,2014-10-09,2014-10-19,2014-10-15,2014-10-11,2014-10-16,2014-10-12,2014-10-08,0.31249,0.32902,0.35896,0.30307,0.41201
harvardbarn2,DB,1000,falling,gcc_75,2013-10-09,2013-10-01,2013-09-21,2013-10-11,2013-10-04,2013-09-24,2013-10-05,2013-09-29,2013-09-18,0.3286,0.34243,0.36556,0.3207,0.40956
harvardbarn2,DB,1000,falling,gcc_75,2012-10-12,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-02,2012-10-09,2012-10-04,2012-09-27,0.32353,0.3345,0.35559,0.31781,0.39082
harvardbarn2,DB,1000,falling,gcc_50,2019-10-18,2019-10-15,2019-10-07,2019-10-19,2019-10-16,2019-10-10,2019-10-16,2019-10-13,2019-10-06,0.30577,0.3192,0.35308,0.29607,0.40439
harvardbarn2,DB,1000,falling,gcc_50,2018-10-29,2018-10-25,2018-10-11,2018-10-30,2018-10-27,2018-10-14,2018-10-27,2018-10-21,2018-10-09,0.31814,0.33415,0.35714,0.31296,0.40019
harvardbarn2,DB,1000,falling,gcc_50,2017-10-22,2017-10-17,2017-10-02,2017-10-23,2017-10-18,2017-10-10,2017-10-19,2017-10-15,2017-09-27,0.31915,0.33659,0.36549,0.31061,0.42004
harvardbarn2,DB,1000,falling,gcc_50,2016-10-21,2016-10-17,2016-10-09,2016-10-23,2016-10-18,2016-10-11,2016-10-19,2016-10-15,2016-10-08,0.31602,0.33101,0.35994,0.3072,0.41007
harvardbarn2,DB,1000,falling,gcc_50,2015-10-19,2015-10-14,2015-10-06,2015-10-22,2015-10-15,2015-10-08,2015-10-16,2015-10-11,2015-10-05,0.32308,0.33566,0.36537,0.31455,0.4107
harvardbarn2,DB,1000,falling,gcc_50,2014-10-18,2014-10-14,2014-10-08,2014-10-19,2014-10-15,2014-10-10,2014-10-16,2014-10-12,2014-10-06,0.30716,0.32268,0.35201,0.29914,0.40377
harvardbarn2,DB,1000,falling,gcc_50,2013-10-10,2013-10-02,2013-09-21,2013-10-13,2013-10-04,2013-09-24,2013-10-06,2013-09-29,2013-09-18,0.32334,0.33529,0.36036,0.31531,0.40323
harvardbarn2,DB,1000,falling,gcc_50,2012-10-12,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-02,2012-10-09,2012-10-04,2012-09-26,0.32012,0.33094,0.35042,0.31484,0.38427
harvardbarn2,DB,1000,falling,gcc_mean,2019-10-19,2019-10-15,2019-10-08,2019-10-20,2019-10-16,2019-10-10,2019-10-16,2019-10-13,2019-10-06,0.30111,0.31877,0.34976,0.29352,0.40419
harvardbarn2,DB,1000,falling,gcc_mean,2018-10-28,2018-10-25,2018-10-10,2018-10-29,2018-10-27,2018-10-13,2018-10-26,2018-10-20,2018-10-07,0.32212,0.33336,0.35717,0.31409,0.39866
harvardbarn2,DB,1000,falling,gcc_mean,2017-10-22,2017-10-17,2017-10-02,2017-10-23,2017-10-19,2017-10-09,2017-10-20,2017-10-15,2017-09-28,0.31781,0.33571,0.36353,0.30955,0.41637
harvardbarn2,DB,1000,falling,gcc_mean,2016-10-22,2016-10-18,2016-10-10,2016-10-24,2016-10-19,2016-10-12,2016-10-20,2016-10-16,2016-10-09,0.31266,0.3274,0.35799,0.30448,0.40792
harvardbarn2,DB,1000,falling,gcc_mean,2015-10-19,2015-10-14,2015-10-06,2015-10-22,2015-10-15,2015-10-08,2015-10-16,2015-10-11,2015-10-05,0.32246,0.33482,0.36439,0.31381,0.40809
harvardbarn2,DB,1000,falling,gcc_mean,2014-10-18,2014-10-14,2014-10-08,2014-10-19,2014-10-15,2014-10-10,2014-10-16,2014-10-12,2014-10-07,0.30658,0.32236,0.35269,0.2988,0.40142
harvardbarn2,DB,1000,falling,gcc_mean,2013-10-10,2013-10-02,2013-09-21,2013-10-12,2013-10-04,2013-09-24,2013-10-06,2013-09-29,2013-09-17,0.32234,0.3346,0.35798,0.31505,0.4009
harvardbarn2,DB,1000,falling,gcc_mean,2012-10-12,2012-10-07,2012-09-29,2012-10-14,2012-10-09,2012-10-01,2012-10-09,2012-10-04,2012-09-26,0.31925,0.32967,0.34822,0.31304,0.38246
