#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:07
# Spline RMSE gcc_mean: 0.00291
# Spline RMSE gcc_50: 0.00291
# Spline RMSE gcc_75: 0.00304
# Spline RMSE gcc_90: 0.00342
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,falling,gcc_90,2016-11-03,2016-11-01,2016-10-26,2016-11-04,2016-11-02,2016-10-28,2016-11-02,2016-10-30,2016-10-24,0.3021,0.31174,0.33873,0.29424,0.38262
harvardbarn,DB,1000,falling,gcc_90,2015-11-02,2015-10-28,2015-10-17,2015-11-04,2015-10-29,2015-10-20,2015-10-30,2015-10-26,2015-10-16,0.30979,0.32219,0.3463,0.3016,0.38749
harvardbarn,DB,1000,falling,gcc_90,2014-10-26,2014-10-23,2014-10-17,2014-10-27,2014-10-24,2014-10-18,2014-10-24,2014-10-21,2014-10-16,0.30494,0.31843,0.34359,0.29842,0.38835
harvardbarn,DB,1000,falling,gcc_90,2013-10-23,2013-10-19,2013-10-12,2013-10-24,2013-10-20,2013-10-14,2013-10-21,2013-10-17,2013-10-10,0.30102,0.31474,0.33701,0.29525,0.37828
harvardbarn,DB,1000,falling,gcc_90,2012-10-20,2012-10-17,2012-10-13,2012-10-21,2012-10-18,2012-10-14,2012-10-18,2012-10-16,2012-10-12,0.30288,0.31634,0.33775,0.29859,0.3759
harvardbarn,DB,1000,falling,gcc_75,2021-11-03,2021-10-31,2021-10-24,2021-11-04,2021-11-01,2021-10-26,2021-11-01,2021-10-29,2021-10-22,0.315,0.32864,0.35545,0.30805,0.40192
harvardbarn,DB,1000,falling,gcc_75,2020-10-22,2020-10-19,2020-10-14,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-18,2020-10-13,0.31437,0.32733,0.35345,0.30619,0.39916
harvardbarn,DB,1000,falling,gcc_75,2019-10-23,2019-10-20,2019-10-14,2019-10-24,2019-10-21,2019-10-16,2019-10-21,2019-10-18,2019-10-13,0.30557,0.32025,0.34493,0.30047,0.3849
harvardbarn,DB,1000,falling,gcc_75,2018-10-31,2018-10-28,2018-10-20,2018-11-01,2018-10-29,2018-10-23,2018-10-29,2018-10-26,2018-10-17,0.31193,0.32418,0.34841,0.30696,0.38746
harvardbarn,DB,1000,falling,gcc_75,2017-11-06,2017-11-03,2017-10-27,2017-11-07,2017-11-04,2017-10-29,2017-11-04,2017-11-01,2017-10-26,0.30295,0.31738,0.34292,0.29835,0.38537
harvardbarn,DB,1000,falling,gcc_75,2016-11-03,2016-11-01,2016-10-26,2016-11-04,2016-11-02,2016-10-28,2016-11-02,2016-10-30,2016-10-24,0.30033,0.30993,0.33663,0.29248,0.38022
harvardbarn,DB,1000,falling,gcc_75,2015-10-28,2015-10-26,2015-10-18,2015-10-29,2015-10-27,2015-10-20,2015-10-27,2015-10-24,2015-10-16,0.30596,0.31517,0.34264,0.2981,0.38537
harvardbarn,DB,1000,falling,gcc_75,2014-10-26,2014-10-23,2014-10-17,2014-10-27,2014-10-24,2014-10-19,2014-10-24,2014-10-21,2014-10-16,0.30179,0.31551,0.34143,0.29515,0.38384
harvardbarn,DB,1000,falling,gcc_75,2013-10-23,2013-10-19,2013-10-12,2013-10-24,2013-10-20,2013-10-14,2013-10-21,2013-10-17,2013-10-10,0.29852,0.31223,0.33446,0.29251,0.37549
harvardbarn,DB,1000,falling,gcc_75,2012-10-20,2012-10-17,2012-10-13,2012-10-21,2012-10-18,2012-10-14,2012-10-18,2012-10-16,2012-10-12,0.29844,0.31195,0.33384,0.29432,0.3727
