#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:34:48
# Spline RMSE gcc_mean: 0.00384
# Spline RMSE gcc_50: 0.00372
# Spline RMSE gcc_75: 0.00403
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_50,2014-05-05,2014-05-10,2014-05-17,2014-05-04,2014-05-09,2014-05-15,2014-05-08,2014-05-12,2014-05-18,0.37697,0.39038,0.42084,0.36874,0.46758
harvard,DB,1000,rising,gcc_50,2015-04-29,2015-05-04,2015-05-11,2015-04-27,2015-05-03,2015-05-09,2015-05-01,2015-05-06,2015-05-12,0.37536,0.38752,0.41268,0.3674,0.45534
harvard,DB,1000,rising,gcc_50,2016-05-05,2016-05-11,2016-05-17,2016-05-03,2016-05-10,2016-05-16,2016-05-08,2016-05-13,2016-05-18,0.37903,0.39257,0.42033,0.37018,0.46741
harvard,DB,1000,rising,gcc_50,2017-05-02,2017-05-09,2017-05-15,2017-04-25,2017-05-08,2017-05-14,2017-05-04,2017-05-10,2017-05-16,0.37945,0.39499,0.422,0.36936,0.47207
harvard,DB,1000,rising,gcc_50,2018-05-02,2018-05-07,2018-05-14,2018-04-30,2018-05-06,2018-05-12,2018-05-04,2018-05-09,2018-05-15,0.37968,0.39222,0.42196,0.37064,0.46717
harvard,DB,1000,rising,gcc_50,2019-05-05,2019-05-10,2019-05-18,2019-04-30,2019-05-09,2019-05-16,2019-05-07,2019-05-12,2019-05-19,0.38118,0.39256,0.42149,0.37195,0.46505
harvard,DB,1000,rising,gcc_50,2020-05-11,2020-05-15,2020-05-21,2020-05-09,2020-05-14,2020-05-20,2020-05-14,2020-05-17,2020-05-22,0.37992,0.39099,0.41701,0.37238,0.46083
harvard,DB,1000,rising,gcc_50,2021-05-03,2021-05-09,2021-05-15,2021-05-02,2021-05-08,2021-05-14,2021-05-06,2021-05-11,2021-05-16,0.38205,0.39666,0.42118,0.37422,0.46777
harvard,DB,1000,rising,gcc_50,2022-05-05,2022-05-09,2022-05-15,2022-05-03,2022-05-08,2022-05-14,2022-05-07,2022-05-11,2022-05-16,0.38188,0.39138,0.41674,0.37343,0.45944
harvard,DB,1000,rising,gcc_mean,2008-05-01,2008-05-07,2008-05-14,2008-04-29,2008-05-06,2008-05-12,2008-05-04,2008-05-09,2008-05-15,0.37047,0.38345,0.406,0.36329,0.44835
